artist_id,tag_id,tag_name,target_post_count,total_post_count,avg_score,avg_fav_count,ratio
218465,1611125,butterchalk,151,222,142.6821192052980132,148.728476821192053,0.6801801801801802
199127,1556845,bartolomeobari,97,144,606.2577319587628866,673.8041237113402062,0.6736111111111112
184056,1899203,blsh_(blshwrks),93,146,35.7311827956989247,34.8817204301075269,0.636986301369863
98604,715577,animeflux,95,150,162.1684210526315789,257,0.6333333333333333
90303,720975,harmonist11,88,145,92.3636363636363636,140.5227272727272727,0.6068965517241379
209588,1586276,ashraely,67,111,24.6865671641791045,35.9850746268656716,0.6036036036036037
229662,1644886,brikot,70,121,228.1714285714285714,228.6142857142857143,0.5785123966942148
86083,625428,faustsketcher,93,164,181.5053763440860215,295.3333333333333333,0.5670731707317073
176109,1357848,twistedscarlett60,93,167,168.4301075268817204,185.3118279569892473,0.5568862275449101
210758,1589453,fir3born,321,605,27.9158878504672897,28.1370716510903427,0.5305785123966942
105775,1267929,personal_ami,602,1143,143.8239202657807309,155.1345514950166113,0.5266841644794401
192943,2025249,rockthebull,67,128,5.8059701492537313,4.4328358208955224,0.5234375
335157,1891154,hitmanatee,92,177,28.7065217391304348,27.6956521739130435,0.519774011299435
88375,648680,dr_graevling,61,121,30.4262295081967213,52.8852459016393443,0.5041322314049587
188065,1526603,ancesra,339,698,12.9705014749262537,14.0412979351032448,0.48567335243553006
138019,1378540,aposine,150,309,135.2733333333333333,157.2066666666666667,0.4854368932038835
212255,1655526,merrytail,99,209,310.7575757575757576,303.6161616161616162,0.47368421052631576
121883,1324482,bigrbear,380,821,133.3789473684210526,147.6526315789473684,0.4628501827040195
106353,1269556,neocoill,777,1684,97.7915057915057915,140.2380952380952381,0.46140142517814725
99235,1246290,randomboobguy,177,389,54.0395480225988701,106.903954802259887,0.455012853470437
136590,1373531,throat_(artist),55,121,21.3272727272727273,22.5454545454545455,0.45454545454545453
83658,696105,aki99,357,788,90.773109243697479,110.1008403361344538,0.4530456852791878
88134,716353,noise_tanker,59,132,53.8813559322033898,85.3728813559322034,0.44696969696969696
123008,1328838,greenopi,107,242,90.4299065420560748,90.7663551401869159,0.44214876033057854
161105,1654896,jc_shikikan,57,129,146.7368421052631579,166.4736842105263158,0.4418604651162791
10736,380756,speh,75,171,88.9866666666666667,171.5733333333333333,0.43859649122807015
88181,716560,erotibot,59,135,110.4915254237288136,186.4745762711864407,0.43703703703703706
188737,1203710,crumbles,258,600,57.0232558139534884,55.9883720930232558,0.43
293040,1802832,coubalty,77,181,61.1558441558441558,58.4155844155844156,0.425414364640884
140984,1386637,sunna_(nilsunna),164,386,170.8658536585365854,226.8048780487804878,0.42487046632124353
298269,1814757,innerkey_(kgfw5338),65,154,33.4153846153846154,32.1230769230769231,0.42207792207792205
194720,1706318,ebonyxh,68,166,47.4117647058823529,49.9411764705882353,0.40963855421686746
190153,1532990,paloma_piquet,83,205,320.1927710843373494,373.5421686746987952,0.40487804878048783
135119,1734768,ottosfoxhole,85,213,118.1764705882352941,123.4,0.39906103286384975
11239,404162,testa,81,203,40.8395061728395062,39.2839506172839506,0.39901477832512317
89999,727112,yamada_(gotyui),91,231,155.967032967032967,165.3956043956043956,0.3939393939393939
121520,1323136,hmage,68,174,56.1029411764705882,100,0.39080459770114945
52460,1581437,geewhy,208,537,110.1201923076923077,158.7259615384615385,0.38733705772811916
187132,1524054,z.taiga,149,385,230.7046979865771812,247.2550335570469799,0.38701298701298703
197662,422278,rococo,44,115,153.3636363636363636,192.8409090909090909,0.3826086956521739
