artist_id,tag_id,tag_name,total_post_count,target_post_count,avg_score,avg_fav_count
199127,1556845,bartolomeobari,144,8,557.625,592
240422,1804490,houkisei,191,38,373.7368421052631579,377.6842105263157895
197409,1552208,akusema,273,32,367.65625,402.09375
190153,1532990,paloma_piquet,205,11,358.5454545454545455,347.2727272727272727
7244,907904,takemura_sessyu,248,9,350.4444444444444444,528.6666666666666667
248022,1692689,inukai_mofu,112,6,331.1666666666666667,316
117227,1307386,asou_(asabu202),209,9,313.6666666666666667,414.5555555555555556
187313,1600725,ariso_kaoru,133,6,305.5,306.3333333333333333
262670,2018960,muke_(fz064),156,15,304.2,298.1333333333333333
241992,1677893,mazenda_(3378),167,1,304,292
175317,1491419,kumasteam,173,27,298.7407407407407407,346
203393,1569131,zefrableu,191,10,297.7,352.1
169482,1475877,mdf_an,497,15,295.7333333333333333,325.4
58490,1358874,akita_hika,280,16,282.6875,301.375
216226,1605244,kuroi_suna,310,30,276.0333333333333333,266.5333333333333333
194056,1553387,asura_(asurauser),252,11,275.0909090909090909,275.7272727272727273
98604,715577,animeflux,150,5,256.4,347
165754,1465530,liaowen,110,17,251.7058823529411765,258.2352941176470588
212987,1595932,the_atko,174,24,248.9166666666666667,248.125
174819,1489627,koahri,148,19,247.7894736842105263,236.4210526315789474
189147,1530166,hot_vr,505,89,247.0224719101123596,247.0449438202247191
142920,1391175,niliu_chahui,945,145,244.2689655172413793,252.5724137931034483
212255,1655526,merrytail,209,14,242.5,256.1428571428571429
332546,1884139,redi_(rasec_asdjh),157,4,242.25,235.25
205360,1600632,soso_(chlgksk110),156,29,241.2068965517241379,327.7241379310344828
234770,1657261,qiandaiyiyu,116,8,236,222.5
171459,1481035,kittew,202,8,230.75,283.125
229662,1644886,brikot,121,10,230.2,226.5
149408,571577,midfinger,121,16,229.1875,224.1875
191191,1543884,nyantcha,1656,164,228.024390243902439,273.3170731707317073
294170,1805133,ayomo_ro,117,9,224.8888888888888889,217.7777777777777778
204503,1572829,shexyo,510,28,223.75,291.1785714285714286
127333,1343337,yuzuki_tsuzuru,127,2,223.5,217.5
235669,1714753,zero_a,114,3,221.6666666666666667,211.6666666666666667
196430,1549651,chihunhentai,369,6,221.5,280.5
206906,1578757,chela77,182,48,217.125,214.2083333333333333
138487,1380051,kakure_eria,651,31,216.3870967741935484,239.1935483870967742
163384,1574421,monobe_yuri,422,22,212.6363636363636364,242.9090909090909091
96851,1551655,kairunoburogu,735,45,212.5111111111111111,223.4444444444444444
139159,1609971,re:shimashima,424,48,210.9583333333333333,293.5208333333333333
265292,1733509,jornyhail,144,12,210.8333333333333333,206.4166666666666667
256865,1757820,oroborus,443,9,210.3333333333333333,221.5555555555555556
137456,1376501,neps-l,252,20,208.9,238.85
89999,727112,yamada_(gotyui),231,5,207.4,244.6
201551,1635073,beeeeen,282,69,206.6666666666666667,202.2608695652173913
295680,1808827,gsusart,345,17,206.4117647058823529,198.7647058823529412
196695,1587634,ruberule,108,11,205.3636363636363636,216.2727272727272727
208103,1579771,thirty_8ght,202,18,202.1111111111111111,220.3888888888888889
129353,1767514,hiyashi_mirano,102,3,202,286
195652,1585278,shengtian,733,69,201.9420289855072464,248.3043478260869565
190623,1534342,mochirong,420,25,200.92,207
68126,1727201,misaka_12003-gou,322,56,199.7142857142857143,234.7678571428571429
146428,1662918,c.honey,178,5,198.8,253
133027,1362113,takashia_(akimototakashia),205,2,198,192
192093,1538490,foifoi_(marfoyfoyfoy),108,1,198,194
215463,1603105,pantheon_eve,133,15,197.1333333333333333,217.7333333333333333
131027,1331180,yellowroom,200,6,195,311.8333333333333333
198971,1556432,simao_(x_x36131422),334,71,194.0140845070422535,231.352112676056338
98829,1232254,throtem,287,40,193.425,194.925
276915,1884975,gusha_s,118,22,193.4090909090909091,187.6818181818181818
165145,1463932,roropull,487,29,193.1724137931034483,251.3793103448275862
214072,1599260,l_ract,151,18,192.2222222222222222,275.7222222222222222
198610,1555367,kaneko_(bblogtinhan),109,11,191.9090909090909091,198.7272727272727273
115562,1300751,tarakanovich,418,25,191.48,236.28
25424,534280,mignon,632,52,191.1346153846153846,307.3461538461538462
222473,1623120,shaggy_susu,153,13,190.5384615384615385,201.1538461538461538
172658,1483805,sana!rpg,169,55,190.4545454545454545,214.2363636363636364
247142,2021239,choujiroo,146,8,189.75,188.625
154633,1429504,shiben_(ugvu5784),180,46,188.1521739130434783,183.391304347826087
132563,1618302,hella_p,463,39,188.0512820512820513,202.6923076923076923
218915,1612218,shironekokfp,143,19,187.0526315789473684,180.1052631578947368
143091,1356421,blue-senpai,375,3,186.3333333333333333,180.3333333333333333
4302,1266395,kaede_(sayappa),227,20,185.25,246.6
206551,1577872,makin_tama,123,5,185.2,179.6
287470,1789979,sleepypudding,110,6,185.1666666666666667,176.6666666666666667
12759,411653,hidebou,132,1,185,353
162291,1456455,luminyu,340,18,184.4444444444444444,198
29863,487805,yasojima_nejiro,244,24,184.2083333333333333,223.8333333333333333
49812,1762579,puuzaki_puuna,480,39,184.0769230769230769,259.8461538461538462
189195,1639466,ie_(raarami),181,18,183.9444444444444444,215.7777777777777778
183595,1567232,loooyd,257,39,182.641025641025641,209.2564102564102564
104178,1262824,miazi,423,33,182.4545454545454545,215.5757575757575758
208484,1582851,pepper0,287,18,180.3333333333333333,286.0555555555555556
184870,1517165,unfairr,701,58,179.9137931034482759,201.5689655172413793
181646,1508592,kitsune-neko,207,36,179.1666666666666667,200.3888888888888889
337836,1897904,sakanaya_(sakanaya952),156,6,179.1666666666666667,175.1666666666666667
254406,1688623,fluffydango,275,7,179.1428571428571429,174.5714285714285714
181189,1507212,eonsang,431,24,179.0833333333333333,230.2083333333333333
29378,485751,nanaichi,124,9,179,171.7777777777777778
238715,1668916,phat_smash,118,1,179,271
237730,1665031,meekohopanes,101,14,178.9285714285714286,171.9285714285714286
224503,1631613,kosaki_wit,131,6,178.6666666666666667,191.3333333333333333
153301,1365443,afrobull,1144,53,178.169811320754717,213.339622641509434
53069,573090,miyoshi_(triple_luck),119,6,178.1666666666666667,178.6666666666666667
175826,1654920,mirai_hikari,458,67,178.0149253731343284,231.2537313432835821
146238,1401459,ata_(tsumari),144,2,177.5,231
102629,1257503,oxxo_(dlengur),148,18,176.7222222222222222,283.5555555555555556
72654,650208,marushin_(denwa0214),329,22,175.4545454545454545,201.8636363636363636
184641,1719795,ririko_(fhnngririko),117,34,174.3823529411764706,184.7647058823529412
149133,1409385,piukute062,400,75,174.32,230.56
219625,1615477,araneesama,361,16,174.3125,198.625
150772,1415071,tomas_(kaosu22),167,20,173.9,172.6
263247,1728895,greatodoggo,277,26,173.4230769230769231,166.2692307692307692
90303,720975,harmonist11,145,5,172.8,215.4
189584,1531322,ayase-mio,184,15,172.4,175.1333333333333333
268053,1752380,diforland,127,9,171.6666666666666667,165.3333333333333333
223219,1368648,ratatatat74,355,26,171.3846153846153846,214.5769230769230769
187132,1524054,z.taiga,385,31,171.2580645161290323,177.6129032258064516
204516,1572613,dirty_ero,110,2,170.5,186
125689,1338559,rhasta,129,48,169.1458333333333333,226.3958333333333333
215232,1602384,z282g,238,145,167.5793103448275862,188.6275862068965517
78366,1580280,takurowo,162,4,167.25,169.5
219323,1507661,greatm8,456,18,167,168.5
164512,1462361,toxxy,123,5,166.6,196.4
36778,1599658,hu_dako,411,27,166.4814814814814815,182.2962962962962963
220503,1623317,yuki_(asayuki101),248,48,166.4166666666666667,159.6458333333333333
249121,552051,ruriri,156,1,166,159
10712,717777,yuzuriha_(active_homing),157,13,165.7692307692307692,172.3846153846153846
200102,1874289,poper_(arin_sel),171,28,165.3571428571428571,173.7857142857142857
224915,1632550,camonome,670,12,164.9166666666666667,178.6666666666666667
248556,1694058,iumu,106,12,164.75,156.0833333333333333
284250,1782706,kazane-wind,181,18,163.8333333333333333,155.6111111111111111
196361,1549480,henria,182,14,163.6428571428571429,158.7142857142857143
125171,1336858,k-y,104,4,163.25,174.25
102571,1257315,scathegrapes,109,3,163,205
200329,1560333,blinkblink_art,115,1,163,197
289938,1796021,zhazhapao,143,7,162.8571428571428571,159.2857142857142857
96059,1236086,gray_bear,109,1,162,291
214594,1601405,onikokko,284,22,161.4090909090909091,164.8181818181818182
33869,504669,haku89,243,54,161.3703703703703704,178.037037037037037
186632,1522642,mamimi_(mamamimi),318,29,160.6896551724137931,191.3448275862068966
118364,1428168,sonri,145,3,159,152.3333333333333333
49237,559400,moketa,338,13,158.9230769230769231,173.0769230769230769
213421,1609055,fouriasensei,252,62,158.2580645161290323,181.6129032258064516
82538,691717,tedain,184,11,158.0909090909090909,169.9090909090909091
177581,1572611,solar_(happymonk),315,20,157.8,174.55
250000,1699818,morisobo,585,21,157.7142857142857143,159.5238095238095238
290024,1796230,rosumerii,135,10,156.8,146.8
127381,1408660,gao_(gaolukchup),303,6,156.6666666666666667,195
11712,1664028,xe_(execut3r),189,7,156.5714285714285714,168
208432,1582676,so_dasui1,104,10,156.3,151.4
202414,474739,been,156,17,156.1176470588235294,154.3529411764705882
198726,1575666,squeezable_(artist),396,14,156.0714285714285714,163.2142857142857143
192519,1544915,bang_dacy,139,4,156,157.75
130858,1596727,suujiniku,452,30,155.7666666666666667,163.9333333333333333
109158,1276824,eliskalti,251,15,155.3333333333333333,187.6666666666666667
169343,544866,gatchan,333,14,154.7857142857142857,208.7142857142857143
78039,1311231,m-da_s-tarou,1816,91,154.6703296703296703,201.956043956043956
182249,1585729,maiqo,172,6,154.3333333333333333,170.6666666666666667
197407,1770564,lichiko,131,9,154.1111111111111111,154.3333333333333333
84102,697898,kurokin,164,9,153.8888888888888889,174.8888888888888889
166280,1782873,valtor,456,16,153.75,201.9375
187657,1525597,yukiaka,107,29,153.5862068965517241,164.4827586206896552
151571,1407453,cutesexyrobutts,1401,64,153,282.734375
208645,1583299,okpriko,265,13,152.6923076923076923,151.9230769230769231
99835,1989258,hayate_(leaf98k),132,17,152.6470588235294118,149.4117647058823529
161105,1654896,jc_shikikan,129,15,152.5333333333333333,194.9333333333333333
6673,1385284,akino_komichi,178,10,152.5,208.6
175598,1492211,poharo,238,29,152.3448275862068966,147.9655172413793103
163564,1582207,handplug,197,3,152.3333333333333333,166.3333333333333333
257458,1715422,yuyu5x,121,3,152.3333333333333333,143.3333333333333333
216274,1632600,snegovski,209,20,151.45,154.9
178256,1499280,sura_sura,135,1,151,144
213581,1597802,pontaro18,125,17,150.7058823529411765,163.3529411764705882
142787,1561731,akizero1510,118,6,149.5,161
227996,1639679,maskwolf,159,27,148.5185185185185185,188.2962962962962963
49052,558477,hinagi_(fox_priest),222,15,148.4666666666666667,155.1333333333333333
261450,1724046,mixplin,187,18,148.4444444444444444,144.3333333333333333
120598,1954954,powzin76,118,16,148.375,187
134061,1364842,ale_(ale_halexxx),176,9,148.2222222222222222,229.7777777777777778
265623,2013520,kurenaiz_(kuayrenaiz),194,9,147.8888888888888889,143.7777777777777778
231368,1649532,eufoniuz,230,8,147.875,143.375
180157,1504114,jtveemo,654,74,147.5810810810810811,193.0135135135135135
177225,1496589,folait,274,3,147.3333333333333333,159.6666666666666667
202687,1618634,nicorima,178,11,147.2727272727272727,177.9090909090909091
224226,1629681,kobinbin,238,2,147,141.5
204845,1656799,spring2013,145,3,146.6666666666666667,139.6666666666666667
256237,1712390,gamarenji,117,2,146.5,142.5
173578,1486086,fantongjun,247,70,146.0428571428571429,154.0571428571428571
237463,1664234,netural,136,16,145.8125,153.6875
256179,1712187,coro_fae,341,28,145.75,138.7142857142857143
157370,1571303,sy4,199,7,144.5714285714285714,238.8571428571428571
198286,1554533,queasy_s,199,18,144.4444444444444444,150.8888888888888889
107679,1273889,waterring,559,13,144.3846153846153846,160.6923076923076923
115052,1299152,tomiokasena,232,9,144.3333333333333333,190.2222222222222222
123445,1667762,kokoa_ninniku,185,7,144.2857142857142857,147.2857142857142857
156300,1434363,lun7732,107,15,144.2,195
69501,637962,kikimi,138,17,144.1176470588235294,154.7058823529411765
192574,1539804,wazukani,105,5,144,203.2
12068,1719787,cyclone_(reizei),246,7,143.8571428571428571,169.2857142857142857
58584,1590248,fumihiko_(fu_mihi_ko),1419,92,143.5326086956521739,184.0434782608695652
157987,1440696,leiq,129,11,143.4545454545454545,162.6363636363636364
197662,422278,rococo,115,4,143.25,200
205893,1576190,tomodachi_(tomofanart),131,4,143.25,137.5
190107,1532817,kuroshiro00,127,1,143,138
