artist_id,tag_id,tag_name,total_post_count,target_post_count,avg_score,avg_fav_count
199127,1556845,bartolomeobari,144,116,591.2155172413793103,664.4310344827586207
5954,383113,pairan,378,1,540,528
63710,1860030,suisai_(suisao),248,1,536,931
223468,1625997,dino_(dinoartforame),366,1,476,448
117227,1307386,asou_(asabu202),209,70,405.2857142857142857,476.4714285714285714
49052,558477,hinagi_(fox_priest),222,4,377.5,364.75
133085,1619340,free_style_(yohan1754),589,1,367,605
272883,1764426,midori_xu,101,1,363,344
334798,1895593,memeh,117,1,349,341
25424,534280,mignon,632,123,329.016260162601626,426.8130081300813008
290024,1796230,rosumerii,135,9,327,310.8888888888888889
71833,647080,pasdar,159,1,314,301
191191,1543884,nyantcha,1656,594,310.0622895622895623,361.7609427609427609
99155,1245641,raijuu_(bakanara),146,1,305,297
182249,1585729,maiqo,172,15,301.8666666666666667,296.6666666666666667
248022,1692689,inukai_mofu,112,52,300.6923076923076923,293.1346153846153846
139159,1609971,re:shimashima,424,93,297.4623655913978495,319.5268817204301075
218915,1612218,shironekokfp,143,23,296.9130434782608696,285.7391304347826087
135802,1409103,jungon_kim,176,1,295,275
59870,1228383,twinpoo,101,2,294,279.5
68126,1727201,misaka_12003-gou,322,141,293.5319148936170213,341.7163120567375887
256545,1713200,o22no,105,2,292.5,281
240422,1804490,houkisei,191,13,288.5384615384615385,334
201813,1564644,pomesaurus,170,1,288,277
74236,660415,toridamono,234,1,287,278
204503,1572829,shexyo,510,67,285.5522388059701493,297.4029850746268657
276915,1884975,gusha_s,118,71,284.7323943661971831,275.5211267605633803
189147,1530166,hot_vr,505,183,284.639344262295082,280.4808743169398907
141155,1483182,xiujia_yihuizi,421,1,282,267
96851,1551655,kairunoburogu,735,269,281.7695167286245353,358.8810408921933086
163384,1574421,monobe_yuri,422,299,280.0033444816053512,305.157190635451505
190153,1532990,paloma_piquet,205,130,279.9384615384615385,322.1769230769230769
265292,1733509,jornyhail,144,44,279.4318181818181818,273.0454545454545455
220503,1623317,yuki_(asayuki101),248,2,278.5,263.5
197409,1552208,akusema,273,31,274.4838709677419355,378.032258064516129
146631,1675246,hyde_(tabakko),308,1,273,261
174819,1489627,koahri,148,5,271,260.6
263247,1728895,greatodoggo,277,85,269.9294117647058824,260.2
127216,1342982,piyo_(pixiv_2308057),111,1,269,258
175317,1491419,kumasteam,173,107,268.0934579439252336,337.0186915887850467
9426,485153,konoe_ototsugu,118,1,268,314
197702,1552858,bilibili_xiaolu,174,8,266,286.125
190623,1534342,mochirong,420,83,263.5542168674698795,283.2891566265060241
198286,1554533,queasy_s,199,16,263.5,265.6875
247142,2021239,choujiroo,146,26,261.6153846153846154,254.2692307692307692
205360,1600632,soso_(chlgksk110),156,84,260.8214285714285714,363.9880952380952381
103859,1587324,goumudan,251,19,258.2105263157894737,315.7894736842105263
107679,1273889,waterring,559,301,257.0564784053156146,271.840531561461794
212255,1655526,merrytail,209,145,256.6275862068965517,251.9931034482758621
176006,1493614,mimoza_(96mimo414),157,6,254.5,380.6666666666666667
128522,1328202,freng,403,6,253.8333333333333333,245
237730,1665031,meekohopanes,101,10,252.5,244.1
171459,1481035,kittew,202,19,251.9473684210526316,374.6315789473684211
283081,1780098,asanagi_shion,109,4,251.5,242.25
73337,652717,koruse,197,10,250.3,243.1
215463,1603105,pantheon_eve,133,49,246.9387755102040816,260.5102040816326531
195783,1548030,u_ronnta,167,30,246.1333333333333333,276.3666666666666667
84102,697898,kurokin,164,6,246,270
371607,1466983,suoiresnu,255,102,245.7254901960784314,281.6568627450980392
219625,1615477,araneesama,361,16,245.125,281.75
194056,1553387,asura_(asurauser),252,85,242.8588235294117647,266.5294117647058824
148461,1425674,gohei_(aoi_yuugure),146,4,241,264.75
109553,1566000,da_mao_banlangen,150,87,240.0919540229885057,318.896551724137931
191623,1536919,krekkov,387,30,239.6333333333333333,266.2
257458,1715422,yuyu5x,121,51,238.6862745098039216,227.3137254901960784
234770,1657261,qiandaiyiyu,116,1,237,234
332546,1884139,redi_(rasec_asdjh),157,18,236.8333333333333333,229.7777777777777778
214072,1599260,l_ract,151,36,236.7222222222222222,259.1666666666666667
202687,1618634,nicorima,178,1,235,226
202499,1577410,sabamori,162,26,234.6153846153846154,227.5
187313,1600725,ariso_kaoru,133,41,234.3170731707317073,239.6829268292682927
200849,1561902,sunaba_(nczd5875),148,1,234,302
157922,1439946,xkirara39x,163,5,233,225.8
268053,1752380,diforland,127,28,232.5357142857142857,225.2857142857142857
222778,1623868,in_(ain),301,4,232.25,245
74908,694729,ricegnat,514,199,231.9095477386934673,362.5125628140703518
184184,1515330,zasshu,432,7,231.2857142857142857,227.8571428571428571
237365,1663959,melowh,269,15,231.2,222.4
169659,1476290,misekai_555,379,139,229.1223021582733813,308.1151079136690647
64461,589378,akizone,269,6,228.5,364.8333333333333333
208645,1583299,okpriko,265,42,228.1428571428571429,230.9761904761904762
115305,1300033,gin00,413,69,227.7681159420289855,241
7244,907904,takemura_sessyu,248,136,226.8308823529411765,282.1544117647058824
19186,626940,sage_joh,326,51,226.0784313725490196,250.803921568627451
4302,1266395,kaede_(sayappa),227,81,225.8888888888888889,335.7777777777777778
201551,1635073,beeeeen,282,85,225.8588235294117647,226.8588235294117647
218634,1611538,turbulence,164,18,225.0555555555555556,218.1666666666666667
185854,1520315,gomashio_ponz,173,13,224.6153846153846154,278.6153846153846154
265824,1734874,uechin_ewokaku,143,25,224.44,213.08
284250,1782706,kazane-wind,181,9,224.1111111111111111,213.7777777777777778
201643,1787394,feint721,308,19,224.0526315789473684,216.2105263157894737
198971,1556432,simao_(x_x36131422),334,136,222.4779411764705882,291.3308823529411765
287470,1789979,sleepypudding,110,28,222.4285714285714286,214.2142857142857143
206906,1578757,chela77,182,13,222.0769230769230769,243.1538461538461538
70789,1521080,satoupote,292,5,221.8,223.4
83259,1575784,sora_72-iro,454,30,221.4666666666666667,222.1666666666666667
211955,1592670,nia_(nia4294),427,8,221.125,230.625
169482,1475877,mdf_an,497,147,220.6326530612244898,273.7006802721088435
151750,1567973,yunkaiming,106,9,219.8888888888888889,246
115704,1301557,asato_(fadeless),102,1,219,217
208484,1582851,pepper0,287,70,218.8857142857142857,316.6428571428571429
154803,1430141,ardenlolo,161,4,218.25,223
298131,1961632,aoi_riko,185,6,218.1666666666666667,211.8333333333333333
139399,1370484,saruei,154,8,218.125,313.125
120141,1313197,dishwasher1910,962,49,216.9591836734693878,246.2653061224489796
